OlinkID	Symbol	CSF_belowLOD	Plasma_belowLOD
OID20494	JCHAIN	True	False
OID20495	IFNG	True	False
OID20419	IL2	True	True
OID20420	IL10RA	True	False
OID20421	PAPPA	False	False
OID20422	IL20RA	False	False
OID20423	EIF5A	False	False
OID20424	JUN	True	True
OID20425	RAB37	True	False
OID20445	PNPT1	True	False
OID20446	ARTN	True	False
OID20447	RABGAP1L	True	False
OID20448	NCLN	True	True
OID20449	IL22RA1	True	False
OID20450	IL2RB	True	False
OID20451	MYO9B	True	False
OID20452	AOC1	True	True
OID20453	IL20	False	False
OID20454	RGS8	True	True
OID20426	IL4	True	True
OID20427	IL1B	True	False
OID20428	IL33	True	True
OID20429	LILRB4	False	False
OID20430	IL13	True	True
OID20431	IL10	True	False
OID20432	ARNT	True	True
OID20433	TNFAIP8	True	True
OID20434	LTO1	True	True
OID20435	ACTN4	True	True
OID20436	LAP3	True	False
OID20437	AMBN	False	False
OID20438	LRRN1	False	False
OID20439	PREB	True	True
OID20440	IL24	True	True
OID20441	CEP164	True	True
OID20442	NBN	True	False
OID20443	FCRL3	True	False
OID20444	PRKAB1	True	False
OID20520	HLA-DRA	False	False
OID20521	TBC1D5	True	False
OID20522	EPO	True	False
OID20523	CCL7	True	False
OID20524	DAPP1	True	False
OID20525	EDAR	False	False
OID20526	TRIM5	True	False
OID20527	DPP10	False	False
OID20528	ITGA6	True	False
OID20529	FCRL6	True	False
OID20530	LSP1	True	False
OID20531	STX8	False	False
OID20532	HLA-E	False	False
OID20533	TRIM21	True	False
OID20534	PSIP1	True	False
OID20535	IL7	True	False
OID20536	SAMD9L	True	False
OID20598	PTPRM	False	False
OID20599	CD70	True	False
OID20500	PARP1	True	False
OID20501	FABP9	True	False
OID20502	SRPK2	True	False
OID20503	FGF2	True	False
OID20504	ITM2A	False	False
OID20505	BACH1	True	False
OID20506	IFNLR1	False	False
OID20515	FOXO1	True	False
OID20516	VASH1	True	True
OID20517	BID	True	False
OID20519	METAP1D	True	False
OID20537	SIGLEC10	False	False
OID20538	ISM1	False	False
OID20539	SLC39A5	True	False
OID20540	BTN3A2	False	False
OID20541	MLN	False	False
OID20542	SCRN1	True	False
OID20543	PROK1	True	False
OID20544	IKBKG	True	False
OID20545	NFATC1	True	False
OID20546	CCL26	True	False
OID20547	CLEC4C	True	False
OID20548	CEACAM21	False	False
OID20549	PSMG3	False	False
OID20550	COL9A1	False	False
OID20551	GOPC	True	False
OID20552	MAP2K6	False	False
OID20553	NT5C3A	True	False
OID20554	ARHGEF12	True	False
OID20555	CASP2	True	False
OID20556	CNTNAP2	False	False
OID20557	MAPK9	True	False
OID20558	BCR	True	False
OID20559	CLIP2	True	False
OID20560	SELPLG	False	False
OID20561	CXADR	False	False
OID20562	IL15	False	False
OID20563	IL6	False	False
OID20564	FCAR	False	False
OID20565	CD83	False	False
OID20566	NCR1	True	False
OID20567	NCF2	True	False
OID20568	NPPC	False	False
OID20569	CCL28	True	False
OID20570	PTX3	True	False
OID20571	PTH1R	False	False
OID20572	EGLN1	False	False
OID20573	CLEC4A	False	False
OID20574	OSM	True	False
OID20575	HSD11B1	True	False
OID20576	IL4R	False	False
OID20577	IRAK4	True	False
OID20578	ICAM4	False	False
OID20579	DECR1	True	False
OID20580	LY75	False	False
OID20581	ITGA11	True	False
OID20582	AXIN1	True	False
OID20583	ANXA11	True	False
OID20584	CD4	False	False
OID20585	IL17RB	False	False
OID20586	LTA	False	False
OID20587	PIK3AP1	True	False
OID20588	MGMT	True	False
OID20589	HEXIM1	False	False
OID20590	CLEC4G	True	False
OID20591	NTF3	True	False
OID20592	TNFSF11	False	False
OID20593	MICB_MICA	False	False
OID20594	BANK1	True	False
OID20595	CD200R1	False	False
OID20596	KRT19	False	False
OID20597	PLXNA4	False	False
OID20600	TGFA	False	False
OID20601	IL5RA	False	False
OID20602	SLAMF7	False	False
OID20603	CD200	False	False
OID20604	GZMB	False	False
OID20605	IL32	False	False
OID20606	LIFR	False	False
OID20607	CD84	False	False
OID20608	RAB6A	False	False
OID20609	CLEC4D	True	False
OID20610	CCL3	False	False
OID20507	TRAF2	True	False
OID20508	SULT2A1	True	False
OID20509	SPINK4	True	False
OID20510	NUB1	True	False
OID20511	PSPN	False	False
OID20512	ALDH3A1	False	False
OID20513	BCL2L11	False	False
OID20514	SH2D1A	True	False
OID20631	CXCL8	False	False
OID20632	KLRD1	False	False
OID20633	IL16	False	False
OID20634	NFASC	False	False
OID20635	CD79B	False	False
OID20636	CLEC7A	False	False
OID20637	CD22	False	False
OID20638	LAMP3	True	False
OID20639	FCRL2	True	False
OID20640	LAT	True	False
OID20641	GMPR	False	False
OID20611	TNFSF10	False	False
OID20612	TLR3	False	False
OID20613	CXCL6	True	False
OID20614	PCDH1	False	False
OID20615	HPCAL1	True	False
OID20616	CD40LG	False	False
OID20617	CKAP4	False	False
OID20618	FKBP1B	True	True
OID20619	IDS	False	False
OID20620	DFFA	False	False
OID20621	TGFB1	False	False
